pose_id,feature_id,x,y,z,sigma_x,sigma_y,sigma_z
1,6,0.79234,-1.12203,2.66900,0.00300,0.00300,0.00300
1,26,1.25217,1.97306,1.41317,0.00300,0.00300,0.00300
1,42,3.91058,-2.13126,2.01987,0.00300,0.00300,0.00300
1,47,1.42666,1.66206,0.64116,0.00300,0.00300,0.00300
1,56,-0.61428,-1.76645,2.13477,0.00300,0.00300,0.00300
1,57,2.01276,1.73989,-1.48593,0.00300,0.00300,0.00300
1,61,-1.80003,2.04552,-1.14474,0.00300,0.00300,0.00300
1,66,-0.29921,-1.74428,2.38917,0.00300,0.00300,0.00300
1,67,1.01071,-2.71893,0.06081,0.00300,0.00300,0.00300
1,82,1.37297,1.52698,-0.65300,0.00300,0.00300,0.00300
1,86,2.64637,-0.00831,0.96329,0.00300,0.00300,0.00300
1,96,-0.73847,2.69775,-0.59336,0.00300,0.00300,0.00300
1,97,3.14085,0.45037,2.39633,0.00300,0.00300,0.00300
1,101,2.76160,-0.76303,0.41420,0.00300,0.00300,0.00300
1,112,0.30903,-0.60052,-0.66670,0.00300,0.00300,0.00300
1,117,2.67079,-0.07137,2.75511,0.00300,0.00300,0.00300
1,127,4.11620,0.39573,2.25418,0.00300,0.00300,0.00300
1,131,0.85355,-2.46987,-1.18977,0.00300,0.00300,0.00300
1,132,1.12889,0.69669,1.61807,0.00300,0.00300,0.00300
1,141,-0.52434,0.87955,2.52407,0.00300,0.00300,0.00300
1,142,3.95681,1.92856,-0.80792,0.00300,0.00300,0.00300
1,146,-0.01608,0.20259,2.70930,0.00300,0.00300,0.00300
1,147,0.75453,-0.44506,1.70005,0.00300,0.00300,0.00300
1,151,-0.58265,-1.76271,2.27747,0.00300,0.00300,0.00300
1,161,1.11894,-1.06626,2.48036,0.00300,0.00300,0.00300
1,162,4.24657,1.33279,1.74323,0.00300,0.00300,0.00300
1,166,0.33640,1.23597,2.50398,0.00300,0.00300,0.00300
1,171,1.39295,-0.83533,2.19693,0.00300,0.00300,0.00300
1,176,2.46282,-0.84680,-0.89613,0.00300,0.00300,0.00300
1,196,0.90782,1.63683,2.03318,0.00300,0.00300,0.00300
1,202,2.68638,2.20858,-0.81670,0.00300,0.00300,0.00300
1,207,2.94162,-3.28448,-0.91019,0.00300,0.00300,0.00300
1,211,1.27014,-0.81816,2.26140,0.00300,0.00300,0.00300
1,222,4.45525,-1.04431,2.43423,0.00300,0.00300,0.00300
1,241,-1.63123,-2.14323,-0.94109,0.00300,0.00300,0.00300
1,247,4.69353,-2.89446,-1.29234,0.00300,0.00300,0.00300
1,261,2.49365,0.86154,-1.40007,0.00300,0.00300,0.00300
1,267,2.38115,2.04452,0.50909,0.00300,0.00300,0.00300
1,272,0.56471,-0.19738,-0.92047,0.00300,0.00300,0.00300
1,276,-0.13148,-2.52958,1.20552,0.00300,0.00300,0.00300
1,281,-0.75452,2.14783,1.55603,0.00300,0.00300,0.00300
1,282,1.46649,-2.51446,1.31061,0.00300,0.00300,0.00300
1,286,-2.73506,-0.00817,-0.26030,0.00300,0.00300,0.00300
1,292,3.81959,0.95887,1.94992,0.00300,0.00300,0.00300
1,296,-2.31271,-0.07383,1.65997,0.00300,0.00300,0.00300
1,301,2.49562,0.67807,-1.01786,0.00300,0.00300,0.00300
1,306,-1.22523,-0.44043,2.54297,0.00300,0.00300,0.00300
1,312,5.73755,-1.37425,-0.48849,0.00300,0.00300,0.00300
1,322,1.93255,-3.24074,-1.01287,0.00300,0.00300,0.00300
1,326,-2.72596,0.55033,0.60087,0.00300,0.00300,0.00300
1,331,0.97491,-1.53545,2.29695,0.00300,0.00300,0.00300
1,347,2.01197,-0.56985,2.51566,0.00300,0.00300,0.00300
1,351,1.07723,-0.70955,2.41717,0.00300,0.00300,0.00300
1,352,0.82109,-2.10128,-0.48292,0.00300,0.00300,0.00300
1,367,3.00694,1.94121,0.86352,0.00300,0.00300,0.00300
1,376,1.05699,-0.41839,2.50575,0.00300,0.00300,0.00300
1,377,3.77566,-1.31080,2.70797,0.00300,0.00300,0.00300
1,382,0.35079,-1.23931,-0.79943,0.00300,0.00300,0.00300
1,386,-2.41045,1.26863,0.03260,0.00300,0.00300,0.00300
1,391,0.17346,-2.73135,0.28568,0.00300,0.00300,0.00300
2,3,1.47240,3.30779,-0.74946,0.00300,0.00300,0.00300
2,5,-2.46194,-0.71106,2.86097,0.00300,0.00300,0.00300
2,6,1.68611,-1.66056,2.81015,0.00300,0.00300,0.00300
2,7,-0.01153,-0.04303,2.76819,0.00300,0.00300,0.00300
2,8,-3.86919,2.18314,-0.96296,0.00300,0.00300,0.00300
2,12,2.62596,-0.53867,-0.73860,0.00300,0.00300,0.00300
2,15,-0.83895,0.98118,1.65552,0.00300,0.00300,0.00300
2,17,-1.46496,-2.13471,-1.33674,0.00300,0.00300,0.00300
2,18,-0.81259,0.43855,1.82292,0.00300,0.00300,0.00300
2,22,0.59347,1.23786,2.40164,0.00300,0.00300,0.00300
2,23,-3.76916,1.95522,1.32879,0.00300,0.00300,0.00300
2,25,-3.67928,-1.27712,2.37597,0.00300,0.00300,0.00300
2,26,-1.15466,-3.01400,1.57657,0.00300,0.00300,0.00300
2,28,-0.08839,1.20654,2.49135,0.00300,0.00300,0.00300
2,30,0.00471,-2.47843,-0.69664,0.00300,0.00300,0.00300
2,33,0.10404,3.67255,2.33801,0.00300,0.00300,0.00300
2,37,-0.42568,-0.05682,2.70322,0.00300,0.00300,0.00300
2,40,-2.25947,-0.92605,2.81824,0.00300,0.00300,0.00300
2,42,0.76564,1.48758,2.12332,0.00300,0.00300,0.00300
2,43,-1.51299,5.44494,0.20898,0.00300,0.00300,0.00300
2,45,-4.75990,-1.91027,-0.04152,0.00300,0.00300,0.00300
2,47,-0.98306,-2.71008,0.79877,0.00300,0.00300,0.00300
2,53,-2.68211,2.81422,2.66283,0.00300,0.00300,0.00300
2,56,2.99571,-2.46489,2.28425,0.00300,0.00300,0.00300
2,57,-1.37547,-2.29183,-1.34111,0.00300,0.00300,0.00300
2,60,-2.68003,-0.88780,2.96791,0.00300,0.00300,0.00300
2,61,0.49563,-5.62335,-0.95259,0.00300,0.00300,0.00300
2,62,1.15489,-0.17493,2.48065,0.00300,0.00300,0.00300
2,63,-1.19783,1.94709,2.83121,0.00300,0.00300,0.00300
2,65,-1.18669,-2.77985,1.44842,0.00300,0.00300,0.00300
2,66,2.80663,-2.21200,2.53226,0.00300,0.00300,0.00300
2,67,2.88070,-0.61203,0.19620,0.00300,0.00300,0.00300
2,68,-0.74202,-0.04366,0.88997,0.00300,0.00300,0.00300
2,73,-2.31595,0.22118,1.11611,0.00300,0.00300,0.00300
2,77,0.01734,-0.54282,2.90243,0.00300,0.00300,0.00300
2,82,-0.84005,-2.70004,-0.49672,0.00300,0.00300,0.00300
2,85,-4.22049,-1.70125,1.96352,0.00300,0.00300,0.00300
2,86,-0.28287,-0.76262,1.09500,0.00300,0.00300,0.00300
2,88,-0.19444,1.70679,2.48723,0.00300,0.00300,0.00300
2,90,-3.32338,-2.12504,2.25054,0.00300,0.00300,0.00300
2,92,0.46687,-1.89711,2.07419,0.00300,0.00300,0.00300
2,93,-1.50550,3.72888,2.71612,0.00300,0.00300,0.00300
2,96,-0.63994,-5.09770,-0.40663,0.00300,0.00300,0.00300
2,97,-0.93733,-0.58995,2.52098,0.00300,0.00300,0.00300
2,98,-3.79527,1.62882,-1.13103,0.00300,0.00300,0.00300
2,101,0.27875,-0.25047,0.53265,0.00300,0.00300,0.00300
2,102,-2.78957,0.37440,-0.38976,0.00300,0.00300,0.00300
2,105,-0.40009,-2.93227,0.16510,0.00300,0.00300,0.00300
2,107,2.50540,0.11129,-1.20693,0.00300,0.00300,0.00300
2,108,-3.68516,4.14479,-0.59705,0.00300,0.00300,0.00300
2,112,1.50962,-2.38933,-0.52207,0.00300,0.00300,0.00300
2,113,-3.36141,2.78107,2.16718,0.00300,0.00300,0.00300
2,115,-2.28629,-0.82367,3.03428,0.00300,0.00300,0.00300
2,117,-0.24185,-0.68065,2.88308,0.00300,0.00300,0.00300
2,122,-0.97699,-1.95998,1.76458,0.00300,0.00300,0.00300
2,123,-2.70479,4.86626,-0.51522,0.00300,0.00300,0.00300
2,125,-3.12751,-3.31892,0.46826,0.00300,0.00300,0.00300
2,127,-1.43745,0.24481,2.36573,0.00300,0.00300,0.00300
2,130,-3.70638,-0.68906,2.44373,0.00300,0.00300,0.00300
2,131,2.75519,-0.90192,-1.05782,0.00300,0.00300,0.00300
2,132,-0.02542,-2.40439,1.76506,0.00300,0.00300,0.00300
2,133,1.70271,2.58650,-0.08529,0.00300,0.00300,0.00300
2,137,1.99480,-0.16783,1.88491,0.00300,0.00300,0.00300
2,141,0.75943,-3.86582,2.69676,0.00300,0.00300,0.00300
2,142,-2.61868,-0.77594,-0.67479,0.00300,0.00300,0.00300
2,143,-4.07777,3.63650,-0.01919,0.00300,0.00300,0.00300
2,145,-3.12534,-1.97711,2.48030,0.00300,0.00300,0.00300
2,146,1.02591,-3.07096,2.86192,0.00300,0.00300,0.00300
2,147,1.13593,-2.07101,1.84490,0.00300,0.00300,0.00300
2,150,-4.20322,-2.77509,0.59446,0.00300,0.00300,0.00300
2,151,2.97179,-2.43623,2.42722,0.00300,0.00300,0.00300
2,152,-1.84394,-2.05934,-1.02637,0.00300,0.00300,0.00300
2,155,-1.45995,-2.95558,1.79722,0.00300,0.00300,0.00300
